,"""enh_impression_list""","""enh_impression_name""","""enh_impression_position""","""search_sortby""","""object_area""","""object_city""","""object_currency""","""object_display_state""","""object_district""","""object_features""","""object_federalstate""","""object_gok""","""object_is_special""","""object_label""","""object_marketingtype""","""object_objekt_nutzungsart""","""object_objekt_zustand""","""object_objektart""","""object_objektart_sub""","""object_price""","""object_rooms""","""object_listingtype"""
531,Liste,kontakt,13.0,1316007.0,158.0,München,EUR,sel_item,Maxvorstadt,Garten|EBK,Bayern,3c5a1177-7b10-4936-be5a-c609a282cc9b,,new,Miete,WOHNEN,sonstiges,,ETAGE,3100.0,3.5,standard
532,Liste,kontakt,14.0,8022.0,0.0,München,EUR,sel_item,Ludwigsvorstadt-Isarvorstadt,Balkon|EBK,Bayern,5707e9e8-f7f5-49fa-b603-d1a1970b2805,,old,Miete,WOHNEN,sonstiges,,Wohnung,3140.0,3.0,standard
533,Liste,kontakt,15.0,316913.0,150.0,München,EUR,sel_item,Bogenhausen,Garten,Bayern,88fdd13a-15f6-4e7c-a6fd-1ec6e3bd7e2f,,old,Miete,WOHNEN,sonstiges,,Wohnung,3160.0,4.0,standard
534,Liste,kontakt,16.0,316913.0,105.0,München,EUR,sel_item,Au-Haidhausen,Balkon,Bayern,d2915919-32ff-4e8b-abe3-23ad68a02fd6,,old,Miete,WOHNEN,sonstiges,,Wohnung,3160.0,3.0,standard
535,Liste,kontakt,17.0,284128.0,70.32,München,EUR,sel_item,Altstadt-Lehel,EBK,Bayern,773d3247-467b-447b-bd70-b53d4be4ae26,,old,Miete,WOHNEN,sonstiges,,MAISONETTE,3164.0,2.0,standard
536,Liste,kontakt,18.0,1766397.0,125.7,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,EBK,Bayern,8c22f2f9-5d72-4ce6-b4c3-8645c556f3bc,,old,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,3180.0,3.0,standard
537,Liste,kontakt,19.0,284128.0,137.0,München,EUR,sel_item,Untergiesing-Harlaching,EBK,Bayern,a38c2f25-f690-4abf-b513-0ba0ac98bd2b,,old,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,3200.0,3.0,standard
538,Liste,kontakt,20.0,320584.0,80.0,München,EUR,sel_item,Bogenhausen,Balkon,Bayern,b80d8e61-fba3-4fdc-aada-34b5e93bcc91,,old,Miete,WOHNEN,sonstiges,,ETAGE,3200.0,2.0,standard
539,Liste,kontakt,21.0,1938659.0,176.0,München,EUR,sel_item,Neuhausen-Nymphenburg,Garten|Balkon|EBK,Bayern,efec8ddb-0214-4666-a7a2-b2eb24cf2b2d,,new,Miete,WOHNEN,sonstiges,,PENTHOUSE,3200.0,4.0,standard
540,Liste,kontakt,22.0,316913.0,97.0,München,EUR,sel_item,Neuhausen-Nymphenburg,,Bayern,47ca0ba9-1e73-499d-9fe1-27f1feafa794,,old,Miete,WOHNEN,sonstiges,,Wohnung,3240.0,2.5,standard
541,Liste,kontakt,23.0,201845.0,95.0,München,EUR,sel_item,Ludwigsvorstadt-Isarvorstadt,,Bayern,dcc17b99-4864-41bd-a69d-cb6670bd17ac,,new,Miete,WOHNEN,sonstiges,,ETAGE,3250.0,5.0,standard
